DEPTH,GR
1047.3,60.5137
1047.4501,56.3382
1047.6001,53.38
1047.75,55.7981
1047.9,55.7619
1048.05,57.7667
1048.2001,60.1168
1048.3501,61.02
1048.5,63.5838
1048.65,62.348
1048.8,63.3321
1048.9501,64.5221
1049.1001,67.7817
1049.25,67.8849
1049.4,65.6175
1049.55,64.4881
1049.7001,65.5863
1049.8501,66.4004
1050,65.7326
1050.15,65.8412
1050.3,63.6829
1050.4501,63.5466
1050.6001,67.8303
1050.75,68.8297
1050.9,64.4379
1051.05,62.7362
1051.2001,61.8292
1051.3501,60.5655
1051.5,62.7129
1051.65,66.5394
1051.8,64.611
1051.9501,62.4187
1052.1001,64.1412
1052.25,65.9191
1052.4,64.5182
1052.55,62.162
1052.7001,64.2908
1052.8501,67.7049
1053,68.8978
1053.15,67.1537
1053.3,62.6571
1053.4501,59.454
1053.6001,54.8577
1053.75,50.2897
1053.9,47.1826
1054.05,45.6631
1054.2001,46.6335
1054.3501,49.4589
1054.5,52.9346
1054.65,52.6101
1054.8,51.7704
1054.9501,50.3163
1055.1001,48.0717
1055.25,49.0884
1055.4,52.5267
1055.55,56.3645
1055.7001,58.5786
1055.8501,55.3823
1056,53.3145
1056.15,51.1114
1056.3,53.8512
1056.4501,55.1549
1056.6001,55.5617
1056.75,52.8563
1056.9,56.0019
1057.05,57.56
1057.2001,55.77
1057.3501,56.4073
1057.5,56.0427
1057.65,55.4244
1057.8,56.3233
1057.9501,57.1538
1058.1001,58.499
1058.25,58.2938
1058.4,57.938
1058.55,59.7251
1058.7001,61.8219
1058.8501,60.7657
1059,57.8776
1059.15,58.4638
1059.3,56.8013
1059.4501,58.1047
1059.6001,61.1879
1059.75,62.9036
1059.9,60.9786
1060.05,60.0777
1060.2001,60.2124
1060.3501,63.3885
1060.5,65.5597
1060.65,62.681
1060.8,59.8475
1060.9501,60.521
1061.1001,62.2837
1061.25,60.9096
1061.4,56.37
1061.55,54.8501
1061.7001,55.0655
1061.8501,53.6743
1062,53.5805
1062.15,54.9478
1062.3,57.4519
1062.4501,60.3983
1062.6001,60.496
1062.75,61.4739
1062.9,64.5172
1063.05,65.2066
1063.2001,63.6975
1063.3501,58.963
1063.5,60.7437
1063.65,62.5612
1063.8,61.5122
1063.9501,60.3469
1064.1001,62.2982
1064.25,63.2821
1064.4,64.5275
1064.55,65.8801
1064.7001,64.2324
1064.8501,66.6098
1065,67.7085
1065.15,62.7112
1065.3,61.0888
1065.4501,62.131
1065.6001,64.1746
1065.75,64.5385
1065.9,62.2313
1066.05,61.3855
1066.2001,63.4774
1066.3501,64.7397
1066.5,60.4206
1066.65,65.08
1066.8,69.1069
1066.9501,68.8581
1067.1001,65.2303
1067.25,61.0732
1067.4,61.6634
1067.55,64.3066
1067.7001,61.997
1067.8501,62.7377
1068,63.4137
1068.15,68.345
1068.3,71.6422
1068.4501,70.2948
1068.6001,65.9388
1068.75,66.9493
1068.9,66.3143
1069.05,63.0444
1069.2001,65.7223
1069.3501,65.7235
1069.5,65.6652
1069.65,65.4548
1069.8,63.8889
1069.9501,62.2591
1070.1001,62.4452
1070.25,64.4558
1070.4,66.6883
1070.55,70.2238
1070.7001,74.0315
1070.8501,74.8189
1071,69.944
1071.15,66.7101
1071.3,64.2097
1071.4501,61.6413
1071.6001,62.4549
1071.75,63.3267
1071.9,65.0948
1072.05,67.4166
1072.2001,66.1675
1072.3501,63.6503
1072.5,62.9494
1072.65,61.7474
1072.8,63.0874
1072.9501,63.017
1073.1001,65.7584
1073.25,69.4252
1073.4,65.1482
1073.55,57.6122
1073.7001,58.1349
1073.8501,58.1031
1074,57.8323
1074.15,56.6901
1074.3,55.1802
1074.4501,54.7883
1074.6001,54.9579
1074.75,56.0567
1074.9,56.8579
1075.05,55.4067
1075.2001,55.8572
1075.3501,54.1286
1075.5,55.7311
1075.65,56.1015
1075.8,56.9556
1075.9501,57.5265
1076.1001,57.9901
1076.25,58.05
1076.4,56.5119
1076.55,52.4201
1076.7001,52.8672
1076.8501,53.9742
1077,52.8906
1077.15,53.204
1077.3,54.5626
1077.4501,50.7227
1077.6001,50.6051
1077.75,51.6901
1077.9,50.7892
1078.05,46.6837
1078.2001,46.8773
1078.3501,47.9228
1078.5,43.4396
1078.65,41.4639
1078.8,41.7042
1078.9501,43.0055
1079.1001,46.048
1079.25,49.8419
1079.4,53.9473
1079.55,57.2377
1079.7001,58.1735
1079.8501,57.6492
1080,56.5298
1080.15,55.4911
1080.3,56.0374
1080.4501,56.473
1080.6001,56.8151
1080.75,55.6557
1080.9,51.9232
1081.05,48.3622
1081.2001,48.2431
1081.3501,50.8424
1081.5,51.4046
1081.65,50.5208
1081.8,50.9692
1081.9501,51.1179
1082.1001,51.5907
1082.25,51.24
1082.4,48.0417
1082.55,50.4729
1082.7001,55.3136
1082.8501,57.7311
1083,58.6771
1083.15,58.3978
1083.3,59.487
1083.4501,58.5622
1083.6001,57.6674
1083.75,58.7957
1083.9,58.2272
1084.05,58.6831
1084.2001,57.2516
1084.3501,57.9273
1084.5,57.9274
1084.65,53.4978
1084.8,50.9832
1084.9501,51.9795
1085.1001,49.3876
1085.25,50.2503
1085.4,55.1257
1085.55,57.825
1085.7001,59.86
1085.8501,57.7479
1086,53.0938
1086.15,54.6118
1086.3,58.223
1086.4501,59.9884
1086.6001,61.8882
1086.75,55.963
1086.9,57.846
1087.05,60.1007
1087.2001,60.0034
1087.3501,62.0401
1087.5,59.7466
1087.65,59.6079
1087.8,60.8771
1087.9501,54.3634
1088.1001,53.2461
1088.25,56.2921
1088.4,60.146
1088.55,63.1305
1088.7001,64.4657
1088.8501,65.1303
1089,63.6268
1089.15,63.1618
1089.3,64.557
1089.4501,65.9338
1089.6001,67.7036
1089.75,66.3149
1089.9,65.3009
1090.05,67.7564
1090.2001,69.3647
1090.3501,70.2572
1090.5,73.5974
1090.65,74.6226
1090.8,68.9557
1090.9501,63.6046
1091.1001,63.5178
1091.25,64.2621
1091.4,64.9868
1091.55,67.9927
1091.7001,71.5265
1091.8501,72.4079
1092,70.9002
1092.15,72.3048
1092.3,74.3437
1092.4501,71.4094
1092.6001,65.7314
1092.75,64.8606
1092.9,67.5508
1093.05,66.6106
1093.2001,67.053
1093.3501,66.8898
1093.5,63.1049
1093.65,64.4806
1093.8,68.5098
1093.9501,68.0638
1094.1001,67.7752
1094.25,69.6851
1094.4,69.3499
1094.55,70.3696
1094.7001,68.5721
1094.8501,70.36
1095,74.8953
1095.15,72.27
1095.3,70.42
1095.4501,70.5965
1095.6001,71.2675
1095.75,66.4221
1095.9,64.9554
1096.05,66.0755
1096.2001,70.2513
1096.3501,71.7111
1096.5,71.1982
1096.65,72.5083
1096.8,74.3386
1096.9501,72.5896
1097.1001,72.4225
1097.25,74.6398
1097.4,76.1708
1097.55,74.1321
1097.7001,73.7998
1097.8501,72.9725
1098,74.9143
1098.15,79.2045
1098.3,79.9113
1098.4501,80.4419
1098.6001,80.2337
1098.75,80.9861
1098.9,79.4046
1099.05,74.9335
1099.2001,74.594
1099.3501,76.9372
1099.5,78.9282
1099.65,81.1617
1099.8,82.1392
1099.9501,81.7498
1100.1001,81.5487
1100.25,82.8972
1100.4,81.9961
1100.55,79.3269
1100.7001,80.5113
1100.8501,83.643
1101,87.5568
1101.15,89.1936
1101.3,89.4365
1101.4501,90.1186
1101.6001,87.682
1101.75,83.5623
1101.9,80.1098
1102.05,79.3512
1102.2001,79.6169
1102.3501,81.0345
1102.5,84.027
1102.65,86.3593
1102.8,85.4156
1102.9501,83.7489
1103.1001,84.2923
1103.25,85.7801
1103.4,82.3265
1103.55,81.3036
1103.7001,83.1361
1103.8501,84.6574
1104,88.7601
1104.15,89.5525
1104.3,93.7586
1104.4501,96.2724
1104.6001,93.9923
1104.75,95.66
1104.9,92.9458
1105.05,91.8298
1105.2001,87.2394
